Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
FAM55C	IOH12459	111.0	91.0	0	33	IOH12459_FAM55C	1.21978021978	3.53716930777	2.84916860427
SPG21	IOH4511	113.0	93.0	0	101	IOH4511_SPG21	1.21505376344	3.45429529298	2.70014175837
DDC	IOH3416	113.0	95.0	0	103	IOH3416_DDC	1.18947368421	3.00577240135	3.0443812551
DDC	IOH3416	117.0	98.0	0	104	IOH3416_DDC	1.19387755102	3.08299010885	3.0443812551
SUGT1	IOH2955	120.0	103.0	0	375	IOH2955_SUGT1	1.16504854369	2.57750028551	2.54993864108
SUGT1	IOH2955	122.0	105.0	0	376	IOH2955_SUGT1	1.1619047619	2.52237699665	2.54993864108
MED8	IOH45566	120.0	103.0	0	476	IOH45566_MED8	1.16504854369	2.57750028551	1.72060283618
TRIM36	IOH57334	117.0	100.0	0	530	IOH57334_TRIM36	1.17	2.66431946548	1.86834214388
IGL@	IOH23249	118.0	99.0	0	558	IOH23249_IGL@	1.19191919192	3.04865210391	1.44879773777
NDEL1	IOH55086	131.0	109.0	0	570	IOH55086_NDEL1	1.20183486239	3.22251416079	2.61093115223
C16orf3	IOH61989	120.0	100.0	0	651	IOH61989_C16orf3	1.2	3.19034155587	2.87000759057
C16orf3	IOH61989	121.0	104.0	0	652	IOH61989_C16orf3	1.16346153846	2.54967362527	2.87000759057
CORO6	IOH40669	123.0	105.0	0	709	IOH40669_CORO6	1.17142857143	2.68936813645	2.27189028694
ND	IOH10136	114.0	98.0	0	860	IOH10136_ND	1.16326530612	2.54623287376	1.98290349832
CLDN11	IOH9912	114.0	97.0	0	1013	IOH9912_CLDN11	1.17525773196	2.756508904	1.66279779934
FTL	IOH27879	119.0	102.0	0	1088	IOH27879_FTL	1.16666666667	2.60587256655	1.65049056477
BCL2L2	IOH45796	126.0	102.0	0	1374	IOH45796_BCL2L2	1.23529411765	3.80919107397	2.82156173297
NUDCD2	IOH13512	112.0	96.0	0	1743	IOH13512_NUDCD2	1.16666666667	2.60587256655	1.32734665241
WIF1	IOH11153	112.0	96.0	0	2436	IOH11153_WIF1	1.16666666667	2.60587256655	2.03929548506
C9orf123	IOH12049	120.0	97.0	0	2437	IOH12049_C9orf123	1.23711340206	3.84109053367	2.74636400781
NECAP2	IOH14317	114.0	97.0	0	2479	IOH14317_NECAP2	1.17525773196	2.756508904	1.13321593683
PLTP	IOH22372	112.0	96.0	0	2540	IOH22372_PLTP	1.16666666667	2.60587256655	0.9639364883
ASNSD1	IOH3082	114.0	98.0	0	2556	IOH3082_ASNSD1	1.16326530612	2.54623287376	1.92001609949
PDE9A	IOH9807	115.0	98.0	0	2608	IOH9807_PDE9A	1.17346938776	2.72515195212	2.09893517785
PYDC1	IOH42416	123.0	101.0	0	2908	IOH42416_PYDC1	1.21782178218	3.5028299264	2.19483802688
LOC541469	IOH12472	121.0	97.0	0	2966	IOH12472_LOC541469	1.24742268041	4.02185413862	2.48536349658
DCLRE1C	IOH14853	117.0	97.0	0	3268	IOH14853_DCLRE1C	1.20618556701	3.29879971884	2.28019680497
TMEPAI	IOH12695	127.0	107.0	0	4046	IOH12695_TMEPAI	1.18691588785	2.96092382174	1.98388872762
MEF2B	IOH14302	114.0	98.0	0	4070	IOH14302_MEF2B	1.16326530612	2.54623287376	1.28848489714
DIMT1L	IOH5430	129.0	109.0	0	4111	IOH5430_DIMT1L	1.18348623853	2.90078811162	1.68706934505
GNAT2	IOH4363	128.0	110.0	0	4205	IOH4363_GNAT2	1.16363636364	2.55273902206	1.49602275375
FKBP5	IOH27424	126.0	108.0	0	4235	IOH27424_FKBP5	1.16666666667	2.60587256655	2.51203580221
MGC59937	IOH28105	126.0	107.0	0	4264	IOH28105_MGC59937	1.17757009346	2.79705401165	2.214405798
IGHG1	IOH13647	122.0	104.0	0	4323	IOH13647_IGHG1	1.17307692308	2.71827044911	1.4421935714
APIP	IOH27762	129.0	111.0	0	4713	IOH27762_APIP	1.16216216216	2.52689027069	2.22101337948
FIS1	IOH5476	138.0	111.0	0	4747	IOH5476_FIS1	1.24324324324	3.94857159607	4.3209167051
FIS1	IOH5476	144.0	112.0	0	4748	IOH5476_FIS1	1.28571428571	4.69326181412	4.3209167051
MAP2K1IP1	IOH14346	128.0	109.0	0	4757	IOH14346_MAP2K1IP1	1.17431192661	2.73992508703	1.56769025229
MAP2K1IP1	IOH14346	137.0	113.0	0	4758	IOH14346_MAP2K1IP1	1.21238938053	3.40757781739	1.56769025229
PIM2	IOH11272	122.0	103.0	0	5001	IOH11272_PIM2	1.18446601942	2.91796765793	1.64121501136
GNAO1	IOH45985	118.0	101.0	0	5334	IOH45985_GNAO1	1.16831683168	2.63480667493	1.83355444281
IGHG1	IOH62693	119.0	102.0	0	5520	IOH62693_IGHG1	1.16666666667	2.60587256655	1.74051799498
IGHG1	IOH12297	126.0	107.0	0	5647	IOH12297_IGHG1	1.17757009346	2.79705401165	2.13322954948
CGRRF1	IOH14256	117.0	99.0	0	5666	IOH14256_CGRRF1	1.18181818182	2.87154028897	2.16309302918
COX11	IOH7427	112.0	96.0	0	5686	IOH7427_COX11	1.16666666667	2.60587256655	1.49892372314
PLEKHA8	IOH5406	117.0	98.0	0	5700	IOH5406_PLEKHA8	1.19387755102	3.08299010885	2.16447979072
C1orf162	IOH23052	116.0	98.0	0	5724	IOH23052_C1orf162	1.18367346939	2.90407103049	1.96818662059
G3BP2	IOH12229	118.0	100.0	0	5783	IOH12229_G3BP2	1.18	2.83966016228	1.08625319431
ND	IOH7264	123.0	104.0	0	5922	IOH7264_ND	1.18269230769	2.88686727295	1.71495405624
SDHD	IOH7395	120.0	101.0	0	5960	IOH7395_SDHD	1.18811881188	2.98201597552	1.33277179773
MFGE8	IOH3899	217.0	100.0	0	5963	IOH3899_MFGE8	2.17	20.1983891451	24.7245857595
MFGE8	IOH3899	274.0	102.0	0	5964	IOH3899_MFGE8	2.6862745098	29.2507823738	24.7245857595
ASMTL	IOH3971	126.0	104.0	0	5968	IOH3971_ASMTL	1.21153846154	3.39265774448	2.63397203719
PGD	IOH3407	123.0	104.0	0	6141	IOH3407_PGD	1.18269230769	2.88686727295	2.63397203719
SERPINB2	IOH53975	125.0	105.0	0	6184	IOH53975_SERPINB2	1.19047619048	3.02335041606	2.71530850768
C12orf64	IOH63459	125.0	105.0	0	6262	IOH63459_C12orf64	1.19047619048	3.02335041606	2.45995797837
N.D.	IOH28303	115.0	99.0	0	6364	IOH28303_N.D.	1.16161616162	2.51731665908	2.44919673025
VGLL4	IOH29305	123.0	105.0	0	6368	IOH29305_VGLL4	1.17142857143	2.68936813645	0.244066414774
DUSP22	IOH11539	115.0	98.0	0	6515	IOH11539_DUSP22	1.17346938776	2.72515195212	1.54153343372
ND	IOH13158	124.0	105.0	0	7233	IOH13158_ND	1.18095238095	2.85635927626	1.82784566518
ZSCAN4	IOH34851	125.0	105.0	0	7562	IOH34851_ZSCAN4	1.19047619048	3.02335041606	1.60392572771
SSBP2	IOH10629	117.0	97.0	0	8048	IOH10629_SSBP2	1.20618556701	3.29879971884	2.57574529906
DYDC1	IOH10642	118.0	99.0	0	8075	IOH10642_DYDC1	1.19191919192	3.04865210391	1.45289218707
PTP4A1	IOH22884	119.0	102.0	0	8128	IOH22884_PTP4A1	1.16666666667	2.60587256655	1.22899850517
NGFRAP1L1	IOH63189	119.0	100.0	0	8675	IOH63189_NGFRAP1L1	1.19	3.01500085907	2.60169778805
