IDName	ID	Name	zscore	ratio	zscores	ratios
IOH10838_TNFAIP8L1	IOH10838	TNFAIP8L1	1.86274081006	1.15946969697	2.72185439998;1.00362722015	1.21666666667;1.10227272727
IOH10087_ZNF408	IOH10087	ZNF408	2.24599113821	1.18498524889	1.64917818434;2.84280409208	1.14525139665;1.22471910112
IOH55284_ND	IOH55284	ND	2.27285456526	1.1867737279	1.8530352027;2.69267392782	1.15882352941;1.21472392638
IOH27879_FTL	IOH27879	FTL	1.69525931942	1.14831932773	0.704426772395;2.68609186644	1.08235294118;1.21428571429
IOH6268_GYS1	IOH6268	GYS1	2.08098707361	1.17399981856	1.11352018593;3.04845396129	1.1095890411;1.23841059603
IOH11153_WIF1	IOH11153	WIF1	1.67805153243	1.14717368962	2.60118800982;0.754915055045	1.20863309353;1.08571428571
IOH3142_PLEK2	IOH3142	PLEK2	1.46727876084	1.13314112865	3.0638651081;-0.129307586412	1.23943661972;1.02684563758
IOH27869_FTL	IOH27869	FTL	1.95970387345	1.16592518023	2.67989027102;1.23951747588	1.21387283237;1.11797752809
IOH28245_OR4D6	IOH28245	OR4D6	2.27400487648	1.18685031185	1.9031823483;2.64482740465	1.16216216216;1.21153846154
IOH12484_NFIC	IOH12484	NFIC	3.00071598685	1.235232358	2.64317682618;3.35825514751	1.21142857143;1.25903614458
IOH9797_CREB1	IOH9797	CREB1	2.18160614426	1.18069870681	2.52891894831;1.8342933402	1.20382165605;1.15757575758
IOH9839_HVCN1	IOH9839	HVCN1	1.65539027646	1.1456649774	0.777956687396;2.53282386553	1.08724832215;1.20408163265
IOH13984_IGHG1	IOH13984	IGHG1	1.37144098544	1.12676056338	2.53498256977;0.207899401115	1.20422535211;1.04929577465
IOH12407_SORBS2	IOH12407	SORBS2	2.13564687097	1.17763888889	2.70099292208;1.57030081985	1.21527777778;1.14
IOH10407_PPIL4	IOH10407	PPIL4	1.70865819749	1.14921138116	2.51078532945;0.90653106552	1.20261437908;1.09580838323
IOH12297_IGHG1	IOH12297	IGHG1	2.2315312427	1.18402255639	2.74255902466;1.72050346074	1.21804511278;1.15
IOH11842_MYL7	IOH11842	MYL7	1.7784181148	1.15385576803	0.659548298927;2.89728793067	1.07936507937;1.22834645669
IOH3899_MFGE8	IOH3899	MFGE8	17.8016860809	2.22063248192	18.3954389184;17.2079332434	2.26016260163;2.1811023622
IOH10449_TSPAN6	IOH10449	TSPAN6	1.88476233925	1.16093581827	0.872236747824;2.89728793067	1.09352517986;1.22834645669
IOH13487_HAMP	IOH13487	HAMP	1.57273465894	1.14016203704	0.580076002162;2.56539331572	1.07407407407;1.20625
IOH10147_SLC25A46	IOH10147	SLC25A46	2.48014756309	1.20057461692	2.03421783727;2.9260772889	1.17088607595;1.23026315789
IOH13312_C5orf28	IOH13312	C5orf28	2.69054141855	1.2145819509	3.52403152101;1.85705131609	1.2700729927;1.15909090909
IOH22708_BDNF	IOH22708	BDNF	1.59170422265	1.14142496847	0.391787791365;2.79162065394	1.06153846154;1.22131147541
IOH5852_CDC25A	IOH5852	CDC25A	1.36496487273	1.126329405	-0.109430121884;2.83935986734	1.02816901408;1.22448979592
IOH23272_HBEGF	IOH23272	HBEGF	1.46971221554	1.1333031401	-0.0109992050278;2.95042363611	1.03472222222;1.23188405797
IOH55394_LMAN1	IOH55394	LMAN1	9.40483125016	1.66159738232	10.6329698956;8.1766926047	1.74336283186;1.57983193277
IOH13099_ZNF643	IOH13099	ZNF643	2.59167877788	1.208	2.23119243975;2.95216511601	1.184;1.232
IOH11253_C20orf28	IOH11253	C20orf28	2.63580080364	1.2109375	2.98783824322;2.28376336406	1.234375;1.1875
IOH13202_HLA-DQB1	IOH13202	HLA-DQB1	3.05275548506	1.23869697739	3.48863691054;2.61687405958	1.26771653543;1.20967741935
IOH26026_ZBTB25	IOH26026	ZBTB25	2.63969249611	1.21119659614	3.89203776502;1.3873472272	1.29457364341;1.12781954887
IOH22547_TMEM178	IOH22547	TMEM178	1.47074723054	1.13337204801	2.52036305245;0.421131408632	1.20325203252;1.06349206349
IOH6213_NFKBIL2	IOH6213	NFKBIL2	2.37284696286	1.19343089431	2.15401514785;2.59167877788	1.17886178862;1.208
IOH28512_OR10Z1	IOH28512	OR10Z1	1.79020897247	1.15464076472	2.51505366253;1.06536428241	1.20289855072;1.10638297872
IOH9778_LOXL4	IOH9778	LOXL4	1.34333679397	1.12488947834	-0.147401175918;2.83407476386	1.02564102564;1.22413793103
IOH5493_EEF1B2	IOH5493	EEF1B2	1.27609656454	1.12041284404	3.2225298696;-0.670336740517	1.25;0.990825688073
IOH46071_FUT10	IOH46071	FUT10	1.3428387746	1.12485632184	0.0889920166348;2.59668553258	1.04137931034;1.20833333333
IOH12185_ND	IOH12185	ND	1.57757333507	1.14048418025	0.576342404328;2.5788042658	1.07382550336;1.20714285714
IOH57815_CRELD1	IOH57815	CRELD1	1.31170045996	1.12278323481	0.0723066966567;2.55109422326	1.04026845638;1.20529801325
IOH57784_PHF10	IOH57784	PHF10	2.16287241997	1.17945147679	1.65395798693;2.67178685302	1.14556962025;1.21333333333
IOH10673_CAPZA3	IOH10673	CAPZA3	1.69505497113	1.14830572289	2.56539331572;0.824716626541	1.20625;1.09036144578
IOH13584_IL13RA1	IOH13584	IL13RA1	2.26568020578	1.18629608253	2.81535403587;1.71600637568	1.22289156627;1.1497005988
IOH55275_FADS1	IOH55275	FADS1	2.26789016114	1.18644321413	1.77118533343;2.76459498885	1.15337423313;1.21951219512
IOH13547_MTHFR	IOH13547	MTHFR	2.19063176629	1.18129960317	2.56688342129;1.81438011129	1.20634920635;1.15625
IOH13379_ABCB9	IOH13379	ABCB9	1.54637022961	1.13840677966	0.188436523704;2.90430393552	1.048;1.22881355932
IOH12271_LYRM2	IOH12271	LYRM2	1.90779317345	1.1624691358	1.04366439996;2.77192194694	1.1049382716;1.22
IOH62697_IGLV3-25	IOH62697	IGLV3-25	4.08183244164	1.30720955151	3.94158506533;4.22207981794	1.29787234043;1.31654676259
IOH14152_TFDP2	IOH14152	TFDP2	2.42646611167	1.19700068166	2.04763191175;2.80530031158	1.1717791411;1.22222222222
IOH22929_PHLDA1	IOH22929	PHLDA1	1.44107242161	1.1313963964	2.61360024439;0.268544598843	1.20945945946;1.05333333333
IOH22318_TREX1	IOH22318	TREX1	1.29656972614	1.1217758801	-0.234120309729;2.82725976201	1.01986754967;1.22368421053
IOH45875_C5orf4	IOH45875	C5orf4	1.49437517499	1.13494511918	0.395682414724;2.59306793525	1.06179775281;1.20809248555
IOH55410_VANGL2	IOH55410	VANGL2	2.35597617218	1.19230769231	2.04490561413;2.66704673023	1.17159763314;1.21301775148
IOH10800_ND	IOH10800	ND	1.87959419708	1.16059174029	1.09386186978;2.66532652438	1.10828025478;1.21290322581
IOH22287_CCDC54	IOH22287	CCDC54	1.98996421696	1.16793981481	2.56539331572;1.4145351182	1.20625;1.12962962963
IOH12181_RTCD1	IOH12181	RTCD1	1.68431744272	1.14759085341	0.70330836107;2.66532652438	1.08227848101;1.21290322581
IOH28015_AMBP	IOH28015	AMBP	2.18528821569	1.18094384707	2.95604131319;1.4145351182	1.23225806452;1.12962962963
IOH22114_HLA-B	IOH22114	HLA-B	1.49679486671	1.13510621433	2.53080718131;0.462782552117	1.20394736842;1.06626506024
IOH10546_GOLT1B	IOH10546	GOLT1B	2.64468936344	1.21152927121	2.76223145398;2.52714727291	1.21935483871;1.2037037037
IOH10847_PEX3	IOH10847	PEX3	2.09601006296	1.175	2.65926996628;1.53275015963	1.2125;1.1375
IOH13582_MGC27348	IOH13582	MGC27348	1.90545567169	1.16231351259	1.28199239507;2.52891894831	1.12080536913;1.20382165605
IOH5657_DHDDS	IOH5657	DHDDS	1.83195060739	1.1574197861	1.12411062193;2.53979059285	1.11029411765;1.20454545455
IOH3718_GFOD2	IOH3718	GFOD2	2.30241435424	1.18874172185	2.05373448522;2.55109422326	1.17218543046;1.20529801325
IOH22325_B3GNT2	IOH22325	B3GNT2	2.2962802508	1.18833333333	1.37003063201;3.2225298696	1.12666666667;1.25
IOH13234_DKFZP564O0823	IOH13234	DKFZP564O0823	1.70324741309	1.14885114885	0.622868777343;2.78362604883	1.07692307692;1.22077922078
IOH27185_NFYA	IOH27185	NFYA	2.05371834242	1.17218435573	2.5485436605;1.55889302434	1.20512820513;1.13924050633
IOH39668_RORB	IOH39668	RORB	2.49343175307	1.20145903479	1.87812351599;3.10873999014	1.16049382716;1.24242424242
IOH57484_RNF121	IOH57484	RNF121	2.21631362075	1.18300941695	2.63944508355;1.79318215794	1.21118012422;1.15483870968
IOH57508_LECT1	IOH57508	LECT1	2.19429214897	1.18154329947	1.2623381725;3.12624612544	1.11949685535;1.24358974359
IOH46674_ILF3	IOH46674	ILF3	2.01480732102	1.16959378734	2.52714727291;1.50246736913	1.2037037037;1.13548387097
IOH12584_CLDN2	IOH12584	CLDN2	1.75835737052	1.15252018936	0.822675644919;2.69403909611	1.09022556391;1.21481481481
IOH11059_MYOZ1	IOH11059	MYOZ1	1.94586252208	1.16500366838	2.66326471737;1.2284603268	1.21276595745;1.11724137931
IOH13506_C3orf14	IOH13506	C3orf14	1.39565519901	1.12837266643	0.0859453099231;2.70536508811	1.04117647059;1.21556886228
IOH6455_TMC6	IOH6455	TMC6	1.76111515138	1.15270379338	-0.103385750017;3.62561605277	1.02857142857;1.27683615819
IOH12627_C3orf31	IOH12627	C3orf31	2.70449905282	1.21551120448	1.52380952625;3.88518857939	1.1369047619;1.29411764706
IOH5033_ND	IOH5033	ND	1.8213138395	1.15671162492	2.50624559948;1.13638207952	1.20231213873;1.11111111111
IOH12543_P2RY12	IOH12543	P2RY12	1.77761171052	1.15380208027	1.03551339516;2.51971002588	1.1043956044;1.20320855615
IOH21841_ASPHD2	IOH21841	ASPHD2	1.79765156769	1.15513626834	0.790002823806;2.80530031158	1.08805031447;1.22222222222
IOH28437_OR2AG1	IOH28437	OR2AG1	2.38888327461	1.19449853944	1.8440879121;2.93367863713	1.1582278481;1.23076923077
IOH57912_TBL2	IOH57912	TBL2	1.87433248937	1.16024143302	1.15197944617;2.59668553258	1.11214953271;1.20833333333
IOH10084_TBPL1	IOH10084	TBPL1	2.40451653827	1.19553935094	1.67383032374;3.13520275281	1.14689265537;1.24418604651
IOH10096_LUC7L2	IOH10096	LUC7L2	2.2345761025	1.18422527319	1.56331465051;2.90583755448	1.13953488372;1.22891566265
IOH6920_RPS11	IOH6920	RPS11	2.63769527546	1.21106362773	2.93367863713;2.34171191379	1.23076923077;1.19135802469
IOH22292_SPANXB1	IOH22292	SPANXB1	1.47099277606	1.13338839562	2.57510469337;0.366880858745	1.20689655172;1.05988023952
IOH22459_ND	IOH22459	ND	2.68274338752	1.21406278352	3.19977189371;2.16571488133	1.24848484848;1.17964071856
IOH10006_NCKAP1	IOH10006	NCKAP1	1.68134425099	1.14739290804	0.513178435898;2.84951006608	1.06962025316;1.22516556291
IOH28399_OR10H1	IOH28399	OR10H1	2.14281561387	1.17811616032	1.31044103624;2.97519019149	1.1226993865;1.23353293413
IOH23224_ZDHHC16	IOH23224	ZDHHC16	2.65106505585	1.21195374393	2.60356294287;2.69856716884	1.20879120879;1.21511627907
IOH10473_PLAC8	IOH10473	PLAC8	1.9730035813	1.16681063123	1.38866041692;2.55734674568	1.12790697674;1.20571428571
IOH50195_ND	IOH50195	ND	2.2847615209	1.18756645401	2.02773613528;2.54178690652	1.17045454545;1.20467836257
IOH14671_SORD	IOH14671	SORD	1.73287926686	1.15082394065	0.941845598479;2.52391293525	1.0981595092;1.20348837209
IOH27544_DIP2A	IOH27544	DIP2A	2.02657501406	1.17037724181	1.41814749532;2.6350025328	1.12987012987;1.21088435374
IOH11135_SLCO1C1	IOH11135	SLCO1C1	2.35741617914	1.19240356326	1.98639012318;2.72844223511	1.16770186335;1.21710526316
IOH3552_ND	IOH3552	ND	2.04324088982	1.17148680124	1.3333351628;2.75314661683	1.12422360248;1.21875
IOH29833_CYP39A1	IOH29833	CYP39A1	2.02848049217	1.1705041023	2.50837620895;1.54858477539	1.20245398773;1.13855421687
IOH29850_ARHGEF7	IOH29850	ARHGEF7	1.99207146212	1.1680801083	1.14674803127;2.83739489297	1.11180124224;1.22435897436
IOH46574_EYA2	IOH46574	EYA2	2.67503406949	1.21354952237	2.60895699016;2.74111114881	1.2091503268;1.21794871795
BC075641_	BC075641		2.63663304345	1.2109929078	3.30242489135;1.97084119555	1.25531914894;1.16666666667
IOH11691_HOMER1	IOH11691	HOMER1	2.26036574092	1.18594226287	2.6535804723;1.86715100953	1.21212121212;1.15976331361
IOH46573_XYLB	IOH46573	XYLB	2.09840521492	1.17515946137	2.64822565445;1.54858477539	1.21176470588;1.13855421687
IOH11166_ND	IOH11166	ND	3.08367258418	1.24075533662	2.72900690669;3.43833826168	1.21714285714;1.26436781609
IOH12795_ORMDL2	IOH12795	ORMDL2	3.08559628584	1.24088341037	3.56389950798;2.60729306371	1.27272727273;1.20903954802
IOH11099_SFRS14	IOH11099	SFRS14	2.17822823925	1.18047381696	1.54208595914;2.81437051937	1.13812154696;1.22282608696
IOH12952_SCAMP1	IOH12952	SCAMP1	2.97932611169	1.23380829016	2.73612235378;3.2225298696	1.21761658031;1.25
IOH5797_ARHGDIA	IOH5797	ARHGDIA	2.47881023127	1.20048558175	2.37714851383;2.58047194871	1.19371727749;1.20725388601
IOH11630_FHL5	IOH11630	FHL5	2.21147332299	1.18268716578	1.6863664969;2.73658014909	1.14772727273;1.21764705882
IOH11708_ND	IOH11708	ND	1.80910614216	1.1558988764	0.395682414724;3.2225298696	1.06179775281;1.25
