Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
C3orf49	IOH11027	91.0	77.0	0	43	IOH11027_C3orf49	1.18181818182	2.63284655823	1.53333499018
SPG21	IOH4511	98.0	80.0	0	101	IOH4511_SPG21	1.225	3.3602912653	2.74455608853
ND	IOH3438	94.0	77.0	0	112	IOH3438_ND	1.22077922078	3.28918764732	1.45220707442
MT1F	IOH23126	97.0	82.0	0	173	IOH23126_MT1F	1.18292682927	2.65152293068	1.52160239723
CYB5R2	IOH3051	97.0	78.0	0	223	IOH3051_CYB5R2	1.24358974359	3.67345572084	3.8382791185
CYB5R2	IOH3051	96.0	76.0	0	224	IOH3051_CYB5R2	1.26315789474	4.00310251615	3.8382791185
TWF1	IOH25866	91.0	75.0	0	239	IOH25866_TWF1	1.21333333333	3.16375357251	2.47513278425
RGS20	IOH39665	94.0	77.0	0	334	IOH39665_RGS20	1.22077922078	3.28918764732	2.37714700894
SUGT1	IOH2955	93.0	75.0	0	375	IOH2955_SUGT1	1.24	3.6129825846	2.32846837816
C16orf3	IOH61989	96.0	76.0	0	651	IOH61989_C16orf3	1.26315789474	4.00310251615	3.9203498034
C16orf3	IOH61989	94.0	75.0	0	652	IOH61989_C16orf3	1.25333333333	3.83759709064	3.9203498034
CORO6	IOH40669	92.0	78.0	0	709	IOH40669_CORO6	1.17948717949	2.59357828794	0.865949700073
TIPRL	IOH12068	92.0	77.0	0	833	IOH12068_TIPRL	1.19480519481	2.85162692126	1.96668840157
REPS1	IOH13835	90.0	76.0	0	872	IOH13835_REPS1	1.18421052632	2.67314820405	1.55348581309
MPPE1	IOH5717	94.0	80.0	0	911	IOH5717_MPPE1	1.175	2.51798686764	1.04395417172
ANXA2	IOH3974	85.0	72.0	0	1032	IOH3974_ANXA2	1.18055555556	2.61157624515	1.65228512559
CPNE2	IOH28984	110.0	82.0	0	1326	IOH28984_CPNE2	1.34146341463	5.32224419157	3.5361238189
BCL2L2	IOH45796	105.0	88.0	0	1374	IOH45796_BCL2L2	1.19318181818	2.82427937588	1.97163320531
BDH2	IOH62632	106.0	89.0	0	2294	IOH62632_BDH2	1.19101123596	2.78771355678	1.75311596925
YWHAQ	IOH29111	103.0	87.0	0	2345	IOH29111_YWHAQ	1.18390804598	2.66805259366	1.03514858809
C13orf3	IOH12828	114.0	96.0	0	2434	IOH12828_C13orf3	1.1875	2.72856296705	2.4310097831
WIF1	IOH11153	117.0	97.0	0	2435	IOH11153_WIF1	1.20618556701	3.04334167237	2.55757869933
NPM1	IOH27884	116.0	96.0	0	2669	IOH27884_NPM1	1.20833333333	3.07952313275	1.66852001761
VPS35	IOH27799	113.0	96.0	0	2710	IOH27799_VPS35	1.17708333333	2.55308288421	1.71662782264
C8orf76	IOH40091	112.0	95.0	0	2807	IOH40091_C8orf76	1.17894736842	2.58448458324	1.42816319522
PYDC1	IOH42416	117.0	99.0	0	2908	IOH42416_PYDC1	1.18181818182	2.63284655823	2.34267470831
PCNP	IOH56032	110.0	93.0	0	3002	IOH56032_PCNP	1.18279569892	2.64931389738	1.28883138823
LYPLAL1	IOH13353	88.0	74.0	0	3330	IOH13353_LYPLAL1	1.18918918919	2.7570191967	1.84641984788
COPZ2	IOH13446	90.0	75.0	0	3559	IOH13446_COPZ2	1.2	2.93913906647	1.25453027114
S100A14	IOH5597	98.0	80.0	0	3581	IOH5597_S100A14	1.225	3.3602912653	2.62327491734
RBP1	IOH58961	83.0	70.0	0	3913	IOH58961_RBP1	1.18571428571	2.69848066714	0.485644984935
NFIC	IOH12484	99.0	83.0	0	4034	IOH12484_NFIC	1.19277108434	2.81736011741	2.02554637455
CCNL1	IOH7442	98.0	83.0	0	4090	IOH7442_CCNL1	1.18072289157	2.61439520231	1.58763151416
BTN3A2	IOH5425	95.0	80.0	0	4107	IOH5425_BTN3A2	1.1875	2.72856296705	1.63895408054
ADAMTS4	IOH23053	99.0	84.0	0	4124	IOH23053_ADAMTS4	1.17857142857	2.57815146747	1.07403647164
WAS	IOH13659	110.0	84.0	0	4141	IOH13659_WAS	1.30952380952	4.78418679469	5.29670005252
WAS	IOH13659	111.0	81.0	0	4142	IOH13659_WAS	1.37037037037	5.80921331036	5.29670005252
FKBP5	IOH27424	98.0	81.0	0	4235	IOH27424_FKBP5	1.20987654321	3.10552018206	2.55551031953
MAPK11	IOH11420	99.0	84.0	0	4273	IOH11420_MAPK11	1.17857142857	2.57815146747	2.09220662266
PPP1R2P3	IOH40100	98.0	81.0	0	4545	IOH40100_PPP1R2P3	1.20987654321	3.10552018206	3.36351621572
PPP1R2P3	IOH40100	98.0	79.0	0	4546	IOH40100_PPP1R2P3	1.24050632911	3.62151224939	3.36351621572
CALB2	IOH59514	102.0	82.0	0	4625	IOH59514_CALB2	1.24390243902	3.67872341564	2.21197667665
APIP	IOH27762	101.0	86.0	0	4713	IOH27762_APIP	1.17441860465	2.50819263045	1.24972093516
FIS1	IOH5476	106.0	87.0	0	4747	IOH5476_FIS1	1.2183908046	3.24895217825	0.90243474457
CASQ2	IOH12278	102.0	83.0	0	4755	IOH12278_CASQ2	1.22891566265	3.42625486271	1.07184120126
MAP2K1IP1	IOH14346	103.0	87.0	0	4758	IOH14346_MAP2K1IP1	1.18390804598	2.66805259366	1.44737907228
