id	name	control	exptl
AF555/488		2304	0
BC000048		0	48
BC000080		2	46
BC000446		0	48
BC000721		0	48
BC001179		10	38
BC001293		4	44
BC001543		0	48
BC001722		0	48
BC001771		0	48
BC002558		2	46
BC002858		0	48
BC002896		0	48
BC003220		0	48
BC004858		0	48
BC005283		0	48
BC005461		2	46
BC006219		0	48
BC006527		1	47
BC006534		4	44
BC007018		2	46
BC007684		1	47
BC008628		0	48
BC008733		2	46
BC010623		0	48
BC010697		0	48
BC010939		0	48
BC011642		0	48
BC013000		0	48
BC013889		0	48
BC013971		4	44
BC014454		0	48
BC014461		0	48
BC014712		2	46
BC015261		0	48
BC016474		0	48
BC016856		3	45
BC017232		2	46
BC017490		0	48
BC017710		0	48
BC017732		0	48
BC018246		0	48
BC019503		0	48
BC019986		0	48
BC021190		0	48
BC021517		0	48
BC021855		0	48
BC024053		0	48
BC024203		4	44
BC024259		0	48
BC024812		4	44
BC025581		0	48
BC026210		0	48
BC026214		0	48
BC026319		2	46
BC027023		0	48
BC027533		0	48
BC027669		0	48
BC028581		1	47
BC029187		0	48
BC030574		0	48
BC030686		0	48
BC030923		6	42
BC032292		0	48
BC032463		2	46
BC032534		0	48
BC032549		0	48
BC032690		2	46
BC032737		2	46
BC032753		0	48
BC032863		2	46
BC032875		0	48
BC033496		0	48
BC033620		6	42
BC033750		4	44
BC034490		2	46
BC035199		0	48
BC035581		0	48
BC035589		0	48
BC035724		0	48
BC036087		2	46
BC036105		2	46
BC036187		1	47
BC036366		4	44
BC036367		0	48
BC036974		9	39
BC037575		0	48
BC038297		0	48
BC038596		0	48
BC039016		2	46
BC039772		2	46
BC040847		2	46
BC041667		0	48
BC041878		0	48
BC042131		0	48
BC042525		11	37
BC044643		0	48
BC044659		0	48
BC044855		2	46
BC046246		0	48
BC047243		0	48
BC047534		0	48
BC047750		0	48
BC048186		0	48
BC049786		0	48
BC049826		0	48
BC049903		0	48
BC050085		0	48
BC050311		0	48
BC050324		1	47
BC050384		0	48
BC050838		0	48
BC050922		0	48
BC051102		0	48
BC051192		0	48
BC051284		0	48
BC052046		2	46
BC052160		0	48
BC053005		4	44
BC053035		2	46
BC053104		2	46
BC053599		12	36
BC053845		6	42
BC054080		0	48
BC055329		0	48
BC055396		4	44
BC056158		0	48
BC056224		0	48
BC057031		1	47
BC057606		0	48
BC057796		2	46
BC058094		0	48
BC059071		0	48
BC059215		0	48
BC059838		2	46
