id	name
AF555/488	
BSA	
BSA-biotin	
CKII-50uM	
EB-R-50uM	
EBNA1	
Empty	
GST100n	
GST10n	
GST500n	
GST50n	
H1	
H2A	
H2B	
H3	
H4	
HuIgG 5n/u	
IOH10004	RAB22A
IOH10011	RAB35
IOH10027	ND
IOH10043	ND
IOH10065	ND
IOH10076	ND
IOH10082	ND
IOH10089	ND
IOH10103	N.D.
IOH10103	ND
IOH10104	RAB38
IOH10114	KCNS3
IOH10122	MVK
IOH10127	ND
IOH10132	N.D.
IOH10132	ND
IOH10133	ND
IOH10136	ND
IOH10139	RAB18
IOH10145	PDK3
IOH10146	ND
IOH10149	ND
IOH10175	ND
IOH10176	TYROBP
IOH10193	ND
IOH10194	ND
IOH10196	ND
IOH10199	ND
IOH10223	ND
IOH10231	ND
IOH10238	TOLLIP
IOH10262	CDC42
IOH10291	PPP2R3B
IOH10294	ND
IOH10296	ND
IOH10300	ND
IOH10310	ND
IOH10325	ND
IOH10337	UCK1
IOH10344	ND
IOH10366	ND
IOH10380	ND
IOH10384	ND
IOH10387	GJB2
IOH10393	ND
IOH10417	CSNK1G2
IOH10420	ND
IOH10425	ND
IOH10464	ND
IOH10485	ND
IOH10488	MKNK2
IOH10497	ND
IOH10499	ND
IOH10502	ND
IOH10511	RAB3D
IOH10517	ND
IOH10528	ITGB1BP1
IOH10537	ND
IOH10543	N.D.
IOH10543	ND
IOH10558	ND
IOH10602	CLDN1
IOH10611	ND
IOH10613	ZMAT4
IOH10615	FAS
IOH10617	IGLL1
IOH10621	NFS1
IOH10632	KLHL2
IOH10635	PHPT1
IOH10640	MITD1
IOH10651	LOC387758
IOH10661	OMA1
IOH10663	ND
IOH10668	ND
IOH10679	EDNRA
IOH10681	ND
IOH10685	ZMYND19
IOH10688	RAB37
IOH10700	SSTR2
IOH10705	PANK3
IOH10710	ND
IOH10715	CYFIP2
IOH10719	ND
IOH10732	LRRC28
IOH10734	RABL2B
IOH10737	RAB34
IOH10740	ND
IOH10744	SYNPR
IOH10752	C9orf121
IOH10755	CD200
IOH10757	FGF12
IOH10760	ND
IOH10766	PRELID2
IOH10769	SAAL1
IOH10771	ND
IOH10772	NXPH3
IOH10773	ND
IOH10777	ND
IOH10785	ND
IOH10794	ND
IOH10800	ND
IOH10813	ACVR1C
IOH10819	ZNF501
IOH10824	ND
IOH10825	RASGEF1A
IOH10833	ND
IOH10834	TPD52L3
IOH10836	ND
IOH10841	SCAND2
IOH10843	ULK4
IOH10844	SLC25A32
IOH10858	ND
IOH10862	CEACAM21
IOH10866	CD97
IOH10876	AGTR1
IOH10884	ND
IOH10885	GABRB1
IOH10888	GAD1
IOH10891	RRAS2
IOH10914	HSPC105
IOH10918	C6orf199
IOH10920	TNFAIP8L2
IOH10923	ND
IOH10939	SCCPDH
IOH10952	ND
IOH10957	CEP76
IOH10967	ND
IOH10969	ND
IOH10972	AKAP10
IOH10980	RIC3
IOH10985	ND
IOH10987	POP5
IOH10991	ND
IOH11009	ND
IOH11014	LCP2
IOH11015	GJB3
IOH11017	ND
IOH11019	ND
IOH11024	PMS2L5
IOH11029	PIP5K2A
IOH11032	ND
IOH11033	EDG4
IOH11043	PRMT8
IOH11046	AK3
IOH11048	ND
IOH11052	N.D.
IOH11052	ND
IOH11057	ND
IOH11061	ND
IOH11064	SULT4A1
IOH11069	UBD
IOH11083	ARL8B
IOH11086	FAIM
IOH11093	ND
IOH11095	ND
IOH11096	ND
IOH11097	N.D.
IOH11097	ND
IOH11111	ND
IOH11117	ND
IOH11128	ND
IOH11130	ARHGAP29
IOH11156	ZNF641
IOH11157	DENND1B
IOH11166	ND
IOH11192	ND
IOH11195	ND
IOH11198	ND
IOH11206	RP11-35N6.1
IOH11209	C9orf9
IOH11220	ZNF223
IOH11228	FABP7
IOH11238	GABRA2
IOH11251	N.D.
IOH11251	ND
IOH11257	ND
IOH11275	ND
IOH11280	ENPP4
IOH11284	SYTL2
IOH11286	ND
IOH11287	ND
IOH11294	ND
IOH11297	ND
IOH11302	ND
IOH11309	RAPGEF4
IOH11311	CORO2B
IOH11319	MBTPS1
IOH11334	ND
IOH11354	ND
IOH11359	CX3CR1
IOH11380	ND
IOH11395	KCNV1
IOH11401	ND
IOH11402	PIP5K2C
IOH11412	ND
IOH11416	ND
IOH11418	ND
IOH11428	ND
IOH11450	ND
IOH11451	ND
IOH11454	ND
IOH11466	N.D.
IOH11466	ND
IOH11480	ND
IOH11481	ND
IOH11484	ND
IOH11519	ND
IOH11522	ND
IOH11523	ND
IOH11569	ND
IOH11588	ND
IOH11613	ND
IOH11625	TPTE
IOH11633	ND
IOH11645	BMX
IOH11649	ND
IOH11653	ND
IOH11667	ND
IOH11681	SFN
IOH11702	ND
IOH11706	GSTA4
IOH11708	ND
IOH11710	ND
IOH11737	ND
IOH11755	ND
IOH11803	N.D.
IOH11803	ND
IOH11817	ND
IOH11824	ND
IOH11837	NEK11
IOH11864	N.D.
IOH11864	ND
IOH11937	ND
IOH12009	ND
IOH12032	PDIK1L
IOH12034	ND
IOH12036	ND
IOH12050	ND
IOH12051	LPPR2
IOH12054	GSTA3
IOH12055	HAVCR2
IOH12057	NIT2
IOH12061	LGALS14
IOH12065	RNASE6
IOH12078	EVA1
IOH12079	VWF
IOH12080	PSPC1
IOH12085	NHEJ1
IOH12090	ND
IOH12092	ND
IOH12100	C11orf1
IOH12102	C1orf123
IOH12104	
IOH12110	ND
IOH12111	ND
IOH12113	CAMK2N1
IOH12114	ND
IOH12115	ELAVL3
IOH12125	N.D.
IOH12125	ND
IOH12138	RGS18
IOH12140	PSCD4
IOH12143	EMCN
IOH12148	ZNF37A
IOH12152	
IOH12157	ZNF556
IOH12166	KLRC4
IOH12173	C9orf90
IOH12174	PICK1
IOH12176	ND
IOH12182	SMAP1L
IOH12185	ND
IOH12187	PBEF1
IOH12191	
IOH12194	ZNF226
IOH12195	SERPINA10
IOH12198	KCNMB2
IOH12208	ND
IOH12214	ND
IOH12216	ND
IOH12231	TAGAP
IOH12236	FOXRED1
IOH12246	CCL20
IOH12258	ND
IOH12268	MRPS22
IOH12292	GH2
IOH12307	FGA
IOH12309	ND
IOH12322	GYPE
IOH12327	MAPK1
IOH12335	ADH4
IOH12336	ND
IOH12340	ND
IOH12341	OLR1
IOH12344	HSP90B1
IOH12346	ND
IOH12347	ND
IOH12355	PDZD11
IOH12359	ND
IOH12363	ND
IOH12378	ND
IOH12379	NDFIP2
IOH12391	ND
IOH12400	C18orf21
IOH12404	ANKRD22
IOH12406	C8orf4
IOH12434	FAM33A
IOH12442	C7orf11
IOH12453	N.D.
IOH12453	ND
IOH12456	C6orf72
IOH12458	ND
IOH12463	TMEM27
IOH12464	SIX2
IOH12465	PHC3
IOH12477	ND
IOH12482	SERPINH1
IOH12490	ND
IOH12500	PTCD2
IOH12502	ARL5B
IOH12521	CDCP1
IOH12525	GPSM3
IOH12528	DAG1
IOH12559	MAPK3
IOH12562	ND
IOH12568	ND
IOH12573	AGPAT4
IOH12591	ND
IOH12596	WSCD1
IOH12615	ND
IOH12624	MEMO1
IOH12628	ELAC1
IOH12629	MRPS16
IOH12631	AMDHD2
IOH12635	RBM23
IOH12639	PSG1
IOH12643	STXBP6
IOH12648	ND
IOH12653	ENO3
IOH12660	WSB1
IOH12673	SPDEF
IOH12680	ND
IOH12701	C7orf33
IOH12704	TRIM9
IOH12706	ND
IOH12720	N.D.
IOH12720	ND
IOH12726	VPREB1
IOH12740	CYP2C8
IOH12742	
IOH12744	ND
IOH12748	ND
IOH12750	SFTPA1
IOH12752	ND
IOH12757	MCEE
IOH12759	KLHL14
IOH12760	FAM40B
IOH12763	ND
IOH12764	DPEP2
IOH12765	CCDC59
IOH12770	ND
IOH12771	ND
IOH12776	AP3M1
IOH12785	CDKN2B
IOH12786	TNFRSF19L
IOH12790	PSG6
IOH12793	FLJ22639
IOH12796	PDRG1
IOH12805	PTPLA
IOH12810	RAB8B
IOH12822	DNAJB14
IOH12831	TMEM40
IOH12832	ND
IOH12833	RASD2
IOH12839	ZFAND1
IOH12840	DGCR8
IOH12841	ADPRHL2
IOH12859	LRRC29
IOH12860	GKAP1
IOH12871	TXNL6
IOH12875	ITLN1
IOH12877	BHMT2
IOH12883	CCDC26
IOH12884	VPREB3
IOH12885	ND
IOH12886	GBP2
IOH12890	AGER
IOH12893	ND
IOH12901	CYB5D2
IOH12906	ND
IOH12908	DGKE
IOH12909	RBMS1
IOH12913	MS4A7
IOH12917	RTN2
IOH12920	ND
IOH12921	RAG2
IOH12923	HLA-DPB2
IOH12924	C9
IOH12926	ND
IOH12929	NR4A2
IOH12934	SNAPC1
IOH12938	RPUSD4
IOH12943	PPAP2B
IOH12945	NAPSA
IOH12946	ATP6V0A2
IOH12954	COQ6
IOH12955	ND
IOH12958	CDC37L1
IOH12965	ND
IOH12966	METTL6
IOH12970	ACMSD
IOH12974	GPRIN2
IOH12978	CCNE2
IOH12980	PDGFRA
IOH12981	PLOD3
IOH13013	CDH19
IOH13019	TMEM185A
IOH13021	SRPX2
IOH13022	TMEM182
IOH13026	PGDS
IOH13027	SH2D1B
IOH13030	ND
IOH13037	FKBP8
IOH13038	BAX
IOH13042	SRI
IOH13051	ZFPL1
IOH13054	UAP1
IOH13056	OR7E91P
IOH13058	APH1B
IOH13076	STX18
IOH13079	TGIF2
IOH13082	ADD1
IOH13085	ND
IOH13105	TFF3
IOH13110	ZMYM3
IOH13118	LTBR
IOH13122	ND
IOH13125	CD96
IOH13127	EBI2
IOH13129	ND
IOH13133	ND
IOH13134	ND
IOH13139	TADA3L
IOH13158	ND
IOH13192	ND
IOH13193	CCDC132
IOH13197	RY1
IOH13198	LAS1L
IOH13203	ND
IOH13214	PPP1R14A
IOH13226	ND
IOH13227	ND
IOH13228	SP110
IOH13230	ND
IOH13231	PATZ1
IOH13235	ND
IOH13239	ND
IOH13254	NTAN1
IOH13260	NEIL2
IOH13261	FLJ21963
IOH13270	TMTC4
IOH13273	N.D.
IOH13273	ND
IOH13289	IGHD
IOH13291	STAC
IOH13293	PHACS
IOH13296	FAM126A
IOH13297	ND
IOH13303	HIATL1
IOH13305	RBM38
IOH13320	ND
IOH13321	LYPD1
IOH13323	LOC220686
IOH13328	ND
IOH13335	ND
IOH13340	CALN1
IOH13346	ERAL1
IOH13348	TMED6
IOH13350	ND
IOH13351	ND
IOH13352	ND
IOH13356	ND
IOH13362	ND
IOH13365	C1QTNF1
IOH13372	ND
IOH13374	OSGEPL1
IOH13380	PRUNE2
IOH13382	RABL3
IOH13386	ND
IOH13387	ND
IOH13388	TMEM68
IOH13409	C7orf36
IOH13411	ABCF3
IOH13432	PORCN
IOH13440	ND
IOH13441	ND
IOH13443	MOXD1
IOH13444	ALG9
IOH13450	SFXN2
IOH13454	ND
IOH13455	C16orf58
IOH13462	RAB3C
IOH13466	C12orf52
IOH13470	N.D.
IOH13470	ND
IOH13471	IGHM
IOH13476	C1orf181
IOH13479	LOC652968
IOH13481	HPCAL1
IOH13489	LARP4
IOH13511	SPC25
IOH13514	ND
IOH13516	GPR30
IOH13536	ND
IOH13557	ND
IOH13563	CLCN2
IOH13564	ND
IOH13588	ND
IOH13589	ND
IOH13592	PPP2R5C
IOH13600	ND
IOH13601	ND
IOH13604	ND
IOH13607	NR3C1
IOH13608	ND
IOH13630	N.D.
IOH13630	ND
IOH13677	CXCL10
IOH13700	ND
IOH13715	ACP1
IOH13717	ND
IOH13719	ND
IOH13729	ND
IOH13735	ABI1
IOH13746	ATP6V1C1
IOH13752	ND
IOH13756	ARL17
IOH13759	PPP1R8
IOH13763	ND
IOH13776	ND
IOH13789	ND
IOH13791	ND
IOH13802	ND
IOH13806	MYF6
IOH13809	PPP1R3C
IOH13821	ND
IOH13822	ACP6
IOH13825	N.D.
IOH13825	ND
IOH13833	ND
IOH13864	LAD1
IOH13877	CAMK4
IOH13884	ND
IOH13897	ND
IOH13899	FAM62B
IOH13907	ND
IOH13909	ND
IOH13913	ND
IOH13921	N.D.
IOH13921	ND
IOH13922	ND
IOH13943	ND
IOH13961	N.D.
IOH13961	ND
IOH13964	ND
IOH13974	BCKDK
IOH13976	NRBF2
IOH13992	AK3L2
IOH13995	ND
IOH14010	CA12
IOH14014	ND
IOH14021	ND
IOH14023	SGK2
IOH14025	RPH3A
