id	cnt	names
AF555/488	1	
BC000048	1	
BC000080	1	
BC000446	1	
BC000721	1	
BC001179	1	
BC001293	1	
BC001543	1	
BC001722	1	
BC001771	1	
BC002558	1	
BC002858	1	
BC002896	1	
BC003220	1	
BC004858	1	
BC005283	1	
BC005461	1	
BC006219	1	
BC006527	1	
BC006534	1	
BC007018	1	
BC007684	1	
BC008628	1	
BC008733	1	
BC010623	1	
BC010697	1	
BC010939	1	
BC011642	1	
BC013000	1	
BC013889	1	
BC013971	1	
BC014454	1	
BC014461	1	
BC014712	1	
BC015261	1	
BC016474	1	
BC016856	1	
BC017232	1	
BC017490	1	
BC017710	1	
BC017732	1	
BC018246	1	
BC019503	1	
BC019986	1	
BC021190	1	
BC021517	1	
BC021855	1	
BC024053	1	
BC024203	1	
BC024259	1	
BC024812	1	
BC025581	1	
BC026210	1	
BC026214	1	
BC026319	1	
BC027023	1	
BC027533	1	
BC027669	1	
BC028581	1	
BC029187	1	
BC030574	1	
BC030686	1	
BC030923	1	
BC032292	1	
BC032463	1	
BC032534	1	
BC032549	1	
BC032690	1	
BC032737	1	
BC032753	1	
BC032863	1	
BC032875	1	
BC033496	1	
BC033620	1	
BC033750	1	
BC034490	1	
BC035199	1	
BC035581	1	
BC035589	1	
BC035724	1	
BC036087	1	
BC036105	1	
BC036187	1	
BC036366	1	
BC036367	1	
BC036974	1	
BC037575	1	
BC038297	1	
BC038596	1	
BC039016	1	
BC039772	1	
BC040847	1	
BC041667	1	
BC041878	1	
BC042131	1	
BC042525	1	
BC044643	1	
BC044659	1	
BC044855	1	
BC046246	1	
BC047243	1	
BC047534	1	
BC047750	1	
BC048186	1	
BC049786	1	
BC049826	1	
BC049903	1	
BC050085	1	
BC050311	1	
BC050324	1	
BC050384	1	
BC050838	1	
BC050922	1	
BC051102	1	
BC051192	1	
BC051284	1	
BC052046	1	
BC052160	1	
BC053005	1	
BC053035	1	
BC053104	1	
BC053599	1	
BC053845	1	
BC054080	1	
BC055329	1	
BC055396	1	
BC056158	1	
BC056224	1	
BC057031	1	
BC057606	1	
BC057796	1	
BC058094	1	
BC059071	1	
BC059215	1	
BC059838	1	
BC061467	1	
BC062561	1	
BC063060	1	
BC063261	1	
BC063290	1	
BC063307	1	
BC063820	1	
BC063829	1	
BC064006	1	
BC064617	1	
BC065692	1	
BC066895	1	
BC067041	1	
BC067128	1	
BC067294	1	
BC067739	1	
BC067748	1	
BC068505	1	
BC069134	1	
BC070062	1	
BC070064	1	
BC070468	1	
BC071733	1	
BC071944	1	
BC072003	1	
BC072657	1	
BC073752	1	
BC074805	1	
BC074819	1	
BC074863	1	
BC074866	1	
BC075007	1	
BC075020	1	
BC075048	1	
BC075090	1	
BC075092	1	
BC075641	1	
BC079560	1	
BC079874	1	
BC080641	1	
BC080680	1	
BC082238	1	
BC082571	1	
BC083187	1	
BC083513	1	
BC085128	1	
BC086624	1	
BC088737	1	
BC093058	1	
BC093666	1	
BC093816	1	
BC094832	1	
BC095411	1	
BC096288	1	
BC096360	1	
BC098275	1	
BC098278	1	
BC099399	1	
BC101486	1	
BC101508	1	
BC101592	1	
BC101649	1	
BC102028	1	
BC103510	1	
BC103864	1	
BC104760	1	
BC104823	1	
