pair	id	zscore_h	zscore_v	ratio_h	ratio_v
H1 x V4	BC032549_	2.69255977505	5.47559358061	1.37299214659	1.9447680716
H1 x V4	IOH12568_GOLPH3	4.63905028014	5.12665463036	1.64571102499	1.88534137545
H1 x V4	IOH26932_MAN2C1	4.0875512112	6.33218135912	1.5684415972	2.0906508445
H1 x V4	IOH46162_ANKHD1	4.51545935441	5.09991268209	1.62839494841	1.88078703827
H1 x V4	IOH62774_INCENP	3.82095170637	14.8651765516	1.5310888756	3.54387844247
H1 x V5	IOH28745_ISGF3G	3.5841661647	3.94100805853	1.49791332854	1.62845736353
H1 x V5	IOH45642_MGC70863	12.1456302234	2.57425424121	2.69744287641	1.42770206945
H1 x V9	IOH3929_PPT2	7.35877932213	2.5421936784	2.02676680303	1.25203410699
H1 x V10	IOH28730_TLE3	5.32522645937	3.80745911132	1.74184979242	1.44867723897
H2 x V1	CONTROL_IgG/ AF647 555	11.73875443	4.31582575875	6.73641207582	2.16909485782
H2 x V2	CONTROL_IgG 488/594	7.85983533073	3.56637685143	4.87268725266	1.75906825954
H2 x V2	CONTROL_IgG/ AF647 555	11.73875443	6.3994184111	6.73641207582	2.32991609881
H2 x V3	CONTROL_IgG 488/594	7.85983533073	3.09250141836	4.87268725266	1.87612997472
H2 x V3	CONTROL_IgG/ AF647 555	11.73875443	7.58477221359	6.73641207582	3.08446393273
H2 x V5	CONTROL_IgG/ AF647 555	11.73875443	3.29761032857	6.73641207582	1.5339520482
H2 x V5	IOH21728_EVL	2.83371370313	4.76093807829	2.45775994899	1.74889258029
H2 x V6	CONTROL_IgG/ AF647 555	11.73875443	4.83373548489	6.73641207582	1.61501959099
H2 x V7	CONTROL_IgG 488/594	7.85983533073	3.46263810622	4.87268725266	1.59061511243
H2 x V7	CONTROL_IgG/ AF647 555	11.73875443	6.15783833343	6.73641207582	2.02015782421
H2 x V8	CONTROL_IgG/ AF647 555	11.73875443	4.35830587242	6.73641207582	1.93654128704
H2 x V9	CONTROL_IgG/ AF647 555	11.73875443	3.36732392211	6.73641207582	1.34017737837
H2 x V11	CONTROL_IgG 488/594	7.85983533073	2.87343797134	4.87268725266	1.32795785366
H2 x V11	CONTROL_IgG/ AF647 555	11.73875443	4.09310655622	6.73641207582	1.471673283
H2 x V12	CONTROL_IgG 488/594	7.85983533073	3.99095267016	4.87268725266	4.11123937157
H2 x V12	CONTROL_IgG/ AF647 555	11.73875443	4.98018567143	6.73641207582	4.85898228555
H3 x V1	CONTROL_IgG/ AF647 555	4.69780639453	4.31582575875	1.72512109805	2.16909485782
