pool	file	id	zscore	ratio
H5	2000133752_2012-04-19_H5	IOH34861_TFAP2D	2.75257209459	1.42948511665
H5	2000133752_2012-04-19_H5	IOH46177_C7orf27	2.78157304764	1.43330362448
H5	2000133752_2012-04-19_H5	IOH27884_NPM1	4.53146997757	1.66370967742
H5	2000133752_2012-04-19_H5	IOH29130_FPRL2	40.7153720338	6.42798459564
H5	2000133752_2012-04-19_H5	IOH13173_FLJ20581	1.28654747207	1.23645606391
H5	2000133752_2012-04-19_H5	IOH42412_	2.02555125909	1.33375947805
H5	2000133752_2012-04-19_H5	IOH37934_CAMKK2	2.88555331591	1.44699453552
H5	2000133752_2012-04-19_H5	IOH34764_PLA2R1	0.974997973052	1.19543485338
H5	2000133752_2012-04-19_H5	IOH12523_FXYD7	2.30625994778	1.37071992976
H5	2000133752_2012-04-19_H5	IOH51937_PLA1A	2.59192770083	1.40833333333
H5	2000133752_2012-04-19_H5	IOH26348_RP2	1.96653144176	1.32598843569
H5	2000133752_2012-04-19_H5	IOH27767_CNOT8	3.89350703281	1.57971014493
H5	2000133752_2012-04-19_H5	IOH41442_NR4A1	1.82596296389	1.30748001523
H5	2000133752_2012-04-19_H5	IOH11721_KCTD17	4.32864544063	1.63700410397
H5	2000133752_2012-04-19_H5	IOH27624_FLJ30934	2.51268474356	1.39789954338
H5	2000133752_2012-04-19_H5	IOH50083_LST1	1.7948442389	1.30338266385
H5	2000133752_2012-04-19_H5	IOH27593_SF1	2.05533579864	1.33768115942
H5	2000133752_2012-04-19_H5	IOH27639_KIAA1576	1.33596401542	1.24296265896
H5	2000133752_2012-04-19_H5	IOH34755_PFKFB2	2.30610041794	1.37069892473
H5	2000133752_2012-04-19_H5	IOH9878_MT1E	2.28292198702	1.36764705882
H5	2000133752_2012-04-19_H5	IOH53663_ROBO2	2.65129304624	1.4161498708
H5	2000133752_2012-04-19_H5	IOH28804_UBL4A	2.94290133196	1.45454545455
H5	2000133752_2012-04-19_H5	IOH7397_SMPX	2.24933440943	1.36322463768
H5	2000133752_2012-04-19_H5	IOH27320_ANKMY2	2.3183550359	1.37231247014
